id,is_a
1923,15233
1924,15233
1925,15234
1926,15233
1927,19269
1928,2616
1929,6568
1930,6568
1931,6568
1932,6568
1933,64
1934,6568
1935,6568
1936,6568
1937,6568
1938,6568
1939,6568
1940,6568
1941,8993
1942,8993
1943,2616
1944,7245
1945,15212
1946,15212
1947,9661
1948,73
1949,35037
1950,2616
1951,4814
1952,4808
1953,64
1954,2616
1955,2051
1956,3603
1957,4777
1958,2051
1959,1000023
1960,10393
1961,12069
1962,1961
1963,1961
1964,18679
1965,64
1966,64
1967,5764
1968,463
1969,179
1970,6314
1971,456
1972,18257
1974,30
1975,42
1976,3929
1977,179
1978,353
1979,8410081
1980,8410081
1981,55
1982,8410081
1983,333
1984,1983
1985,15808
1986,12275
1987,5156
1988,174
1989,1991
1990,1991
1991,1807
1992,13754
1993,13754
1994,2418
1995,2418
1996,11589
1997,10499
1998,2217
1999,61
2000,1497
2001,982
2002,2210
2004,2464
2005,11216
2006,1851
2007,958
2008,1816
2009,1816
2010,1816
2011,1637
2012,13768
2013,1816
2014,1816
2015,11824
2016,13768
2017,1638
2018,7616
2019,35642
2020,11215
2021,16526
2022,5401
2023,5401
2024,1816
2025,13754
2026,13754
2027,13754
2028,4121
2029,34932
2030,4121
2031,8397
2032,34929
2033,1135
2034,7251
2035,7251
2036,2385
2037,2616
2038,15212
2039,12193
2040,4573
2041,2185
2042,4852
2043,7415
2044,9661
2045,18238
2046,10314
2047,9662
2048,15212
2049,477
2050,5423
2051,8397
2052,3893
2053,9753
2054,9753
2055,9753
2056,5624
2057,4573
2058,35783
2059,1808
2060,1637
2061,3498
2062,14387
2063,4151
2064,4344
2065,4344
2066,10260
2067,13754
2068,481
2069,13754
2070,9658
2071,13754
2072,13754
2073,36150
2074,21
2075,5177
2076,119
2077,1851
2078,35554
2079,35553
2080,35554
2081,4151
2082,4151
2083,1638
2084,35553
2085,2099
2086,2050
2087,2050
2088,5194
2089,1638
2090,10912
2091,10912
2092,3547
2093,3292
2094,2099
2095,42
2097,10314
2098,6983
2099,3037
2100,11676
2101,4708
2102,4710
2103,4709
2104,1032
2105,1032
2106,17672
2107,6925
2108,13765
2109,34925
2110,18707
2111,4695
2112,1135
2113,15212
2114,4921
2115,4921
2116,4921
2118,15212
2119,15212
2120,5423
2122,3893
2123,1851
2124,958
2125,9911
2126,19263
2127,19263
2128,19263
2129,19263
2130,19263
2131,5293
2132,8995
2133,946
2134,5208
2135,2133
2136,5401
2137,5623
2138,5838
2139,10134
2140,11214
2141,9661
2142,7415
2143,9661
2144,9661
2145,9661
2146,5623
2147,9662
2148,8440015
2149,7635
2150,7416
2151,9662
2152,19292
2153,8995
2154,7635
2155,7635
2156,7635
2157,7635
2158,7244
2159,7244
2160,7635
2161,18238
2162,10135
2163,14649
2164,7702
2165,5983
2166,2165
2167,2048
2168,2048
2169,7499
2170,8948
2171,8949
2172,64
2173,117
2174,8955
2175,11777
2176,11777
2177,2182
2178,2182
2179,6127
2180,15212
2181,16570
2182,2185
2183,35767
2184,35767
2185,117
2186,117
2187,2186
2188,2186
2189,1225
2190,1013
2191,2616
2192,464
2193,467
2194,3893
2195,440
2196,5156
2197,10134
2198,10134
2199,11216
2200,2049
2201,2049
2202,4777
2203,6876
2204,467
2205,10363
2206,64
2207,4100000
2208,3827
2209,11134
2210,2213
2211,122
2212,54
2213,11134
2214,54
2215,2213
2216,2213
2217,982
2218,3457
2219,10135
2221,3685
2222,2384
2223,7499
2224,464
2225,6800
2226,5764
2227,20
2228,15019
2229,11164
2230,5913
2231,5913
2232,12278
2233,5764
2234,4302
2235,4100000
2236,7844
2237,2228
2238,2228
2239,2238
2240,10314
2241,11159
2242,4121
2243,1638
2244,11597
2245,15212
2246,11777
2247,15212
2248,10279
2249,4259
2250,1637
2251,4518
2252,4518
2254,6590
2255,4121
2256,16550
2257,16550
2258,15212
2259,64
2260,9623
2261,9623
2262,3964
2263,9663
2264,15212
2265,7702
2266,9663
2267,7414
2268,20
2269,158
2270,5492
2271,64
2272,64
2273,64
2274,6568
2275,2616
2276,64
2277,93
2278,2553
2279,13685
2280,476
2281,94
2282,10314
2283,479
2284,2027
2285,4086
2286,4086
2287,2553
2288,1886
2289,4086
2290,6694
2291,4121
2292,2217
2293,2215
2294,11216
2295,13685
2296,6598
2297,1089
2298,2616
2299,3215
2301,8440004
2302,2349
2303,61
2304,22303
2305,16548
2306,16553
2307,1886
2308,125
2309,5838
2310,11215
2313,2305
2314,2616
2315,2020
2316,11215
2317,2316
2318,2316
2319,119
2320,3891
2321,3891
2322,2308
2323,2553
2324,5174
2325,6555
2326,30
2327,5476
2328,4121
2329,7503
2330,467
2331,478
2333,1637
2334,1837
2335,4211
2336,5340
2337,5156
2338,31
2339,2031
2340,2031
2341,6934
2342,10316
2343,4479
